Version,N,Threads,Time
OMP_NAIVE,1000000,2,0.0014142
OMP_SMART,1000000,2,0.000264779
OMP_NAIVE,1000000,2,0.00167891
OMP_SMART,1000000,2,0.000280145
OMP_NAIVE,1000000,2,0.00165978
OMP_SMART,1000000,2,0.000231953
OMP_NAIVE,1000000,4,0.00109809
OMP_SMART,1000000,4,0.000190046
OMP_NAIVE,1000000,4,0.00113818
OMP_SMART,1000000,4,0.000297536
OMP_NAIVE,1000000,4,0.00126292
OMP_SMART,1000000,4,0.000255281
OMP_NAIVE,1000000,4,0.00121536
OMP_SMART,1000000,4,0.000199824
OMP_NAIVE,1000000,4,0.00108265
OMP_SMART,1000000,4,0.000178172
OMP_NAIVE,1000000,8,0.000970623
OMP_SMART,1000000,8,0.000196611
OMP_NAIVE,1000000,8,0.00103642
OMP_SMART,1000000,8,0.000187392
OMP_NAIVE,1000000,8,0.000939264
OMP_SMART,1000000,8,0.000165041
OMP_NAIVE,1000000,8,0.00104934
OMP_SMART,1000000,8,0.000212466
OMP_NAIVE,1000000,8,0.000909371
OMP_SMART,1000000,8,0.000180197
OMP_NAIVE,1000000,16,0.0139601
OMP_SMART,1000000,16,0.00897469
OMP_NAIVE,1000000,16,0.0237689
OMP_SMART,1000000,16,0.00401555
OMP_NAIVE,1000000,16,0.0126815
OMP_SMART,1000000,16,0.00598948
OMP_NAIVE,1000000,16,0.0168538
OMP_SMART,1000000,16,0.00888243
OMP_NAIVE,1000000,16,0.0147203
OMP_SMART,1000000,16,0.00602077
